postalcode,State,Metro,County,City,Zri
2135,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2404
2151,MA,Boston-Cambridge-Newton,Suffolk County,Revere,2531
2124,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2498
2127,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2961
2130,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2741
2149,MA,Boston-Cambridge-Newton,Middlesex County,Everett,2262
2128,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2529
2150,MA,Boston-Cambridge-Newton,Suffolk County,Chelsea,2493
2118,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3040
2136,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2602
2125,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2630
2116,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3053
2131,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2579
2132,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2711
2119,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2754
2115,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2658
2215,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2487
2134,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2429
2121,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2519
2122,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2527
2171,MA,Boston-Cambridge-Newton,Norfolk County,Quincy,2498
2126,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2502
2445,MA,Boston-Cambridge-Newton,Norfolk County,Brookline,3131
2114,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2732
2129,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2931
2152,MA,Boston-Cambridge-Newton,Suffolk County,Winthrop,2641
2141,MA,Boston-Cambridge-Newton,Middlesex County,Cambridge,2652
2467,MA,Boston-Cambridge-Newton,Norfolk County,Brookline,3185
2120,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3153
2111,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3202
2113,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2612
2210,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3100
2109,MA,Boston-Cambridge-Newton,Suffolk County,Boston,2930
2108,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3074
2110,MA,Boston-Cambridge-Newton,Suffolk County,Boston,3308
