School,Code,Address 1,Town,State,postalcode,Rating,Grade
 Beethoven,350021,5125 Washington Street,West Roxbury,MA,2132,70,"PK,K,01,02"
 Boston Latin,350560,78 Avenue Louis Pasteur,Boston,MA,2115,65,"07,08,09,10,11,12"
 Boston Latin Academy,350545,205 Townsend Street,Dorchester,MA,2121,50,"07,08,09,10,11,12"
 Boston Teachers Union School,350012,25 Walk Hill Street,Jamaica Plain,MA,2130,74,"PK,K,01,02,03,04,05,06,07,08"
 Carter School,350036,396 Northampton Street,Boston,MA,2118,40,"07,08,09,10,11,12"
 Charles H Taylor,350054,1060 Morton Street,Mattapan,MA,2126,87,"PK,K,01,02,03,04,05"
 Charles Sumner,350052,15 Basile Street,Roslindale,MA,2131,11,"PK,K,01,02,03,04,05"
 Condon K-8,350146,200 D Street,South Boston,MA,2127,55,"PK,K,01,02,03,04,05,06,07,08"
 Curley K-8 School,350020,493 Centre St.,Jamaica Plain,MA,2130,86,"PK,K,01,02,03,04,05,06,07,08"
 Curtis Guild,350062,195 Leyden Street,East Boston,MA,2128,100,"PK,K,01,02,03,04,05"
 Dante Alighieri Montessori School,350066,37 Gove Street,East Boston,MA,2128,52,"PK,K,01,02,03,04,05,06"
 David A Ellis,350072,302 Walnut Avenue,Roxbury,MA,2119,66,"PK,K,01,02,03,04,05"
 Dearborn,350074,36 Winthrop St,Roxbury,MA,2119,81,"06,07,08,09,10,11,12"
 Dennis C Haley,350077,570 American Legion Highway,Roslindale,MA,2131,49,"PK,K,01,02,03,04,05,06,07,08"
 Donald Mckay,350080,122 Cottage Street,East Boston,MA,2128,50,"PK,K,01,02,03,04,05,06,07,08"
 Dr. William Henderson Lower,350266,1669 Dorchester Avenue,Dorchester,MA,2122,54,"PK,K,01"
 East Boston Early Childhood Center,350009,135 Grove Street,East Boston,MA,2128,80,"PK,K,01"
 Edison K-8,350375,60 Glenmont Road,Brighton,MA,2135,74,"PK,K,01,02,03,04,05,06,07,08"
 Edward Everett,350088,71 Pleasant Street,Dorchester,MA,2125,61,"PK,K,01,02,03,04,05"
 Eliot Elementary,350096,16 Charter Street,Boston,MA,2113,89,"PK,K,01,02,03,04,05,06,07,08"
 Ellis Mendell,350100,164 School Street,Roxbury,MA,2119,36,"PK,K,01,02,03,04,05"
 Franklin D Roosevelt,350116,95 Needham Road,Hyde Park,MA,2136,64,"PK,K,01,02,03,04,05,06,07,08"
 Gardner Pilot Academy,350326,30 Athol Street,Allston,MA,2134,70,"PK,K,01,02,03,04,05,06,07,08"
 Haynes Early Education Center,350010,263 Blue Hill Avenue,Roxbury,MA,2119,47,"PK,K,01"
 Higginson,350015,160 Harrishof Street,Roxbury,MA,2119,61,"PK,K,01,02"
 Horace Mann School for the Deaf,350750,40 Armington Street,Allston,MA,2134,77,"PK,K,01,02,03,04,06,07,08,09,10,11,12"
 Hugh Roe O'Donnell,350141,33 Trenton Street,East Boston,MA,2128,85,"PK,K,01,02,03,04,05"
 Jackson Mann,350013,40 Armington Street,Allston,MA,2134,57,"PK,K,01,02,03,04,05,06,07,08"
 James J Chittick,350154,154 Ruskindale Road,Mattapan,MA,2126,94,"PK,K,01,02,03,04,05"
 James Otis,350156,218 Marion Street,East Boston,MA,2128,8,"PK,K,01,02,03,04,05"
 James P Timilty Middle,350485,205 Roxbury Street,Roxbury,MA,2119,82,"06,07,08"
 James W Hennigan,350153,200 Heath Street,Jamaica Plain,MA,2130,54,"K,01,02,03,04,05,06,07,08"
 John D Philbrick,350172,40 Philbrick Street,Roslindale,MA,2131,47,"PK,K,01,02,03,04,05"
 John F Kennedy,350166,7 Bolster Street,Jamaica Plain,MA,2130,44,"PK,K,01,02,03,04,05"
 John W McCormack,350179,315 Mt Vernon Street,Dorchester,MA,2125,79,"06,07,08"
 John Winthrop,350180,35 Brookford Street,Dorchester,MA,2125,70,"PK,K,01,02,03,04,05"
 Joseph J Hurley,350182,70 Worcester Street,Boston,MA,2118,69,"PK,K,01,02,03,04,05,06,07,08"
 Joseph Lee,350183,155 Talbot Avenue,Dorchester,MA,2124,96,"PK,K,01,02,03,04,05,06,07,08"
