postalcode,State,Metro,County,City,Zri
60657,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1903
60614,IL,Chicago-Naperville-Elgin,Cook County,Chicago,2158
60640,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1609
60647,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1850
60618,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1890
60613,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1664
60625,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1658
60629,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1518
60610,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1917
60619,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1407
60611,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1989
60617,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1396
60620,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1428
60634,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1868
60628,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1395
60649,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1262
60626,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1451
60616,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1802
60615,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1532
60641,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1849
60660,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1541
60637,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1383
60608,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1724
60638,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1684
60639,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1693
60630,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1941
60643,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1514
60411,IL,Chicago-Naperville-Elgin,Cook County,Chicago Heights,1385
60623,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1428
60632,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1533
60605,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1927
60609,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1458
60645,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1571
60651,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1517
60654,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1959
60653,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1615
60644,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1466
60607,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1974
60612,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1735
60659,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1711
60652,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1562
60631,IL,Chicago-Naperville-Elgin,Cook County,Chicago,2069
60656,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1860
60624,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1435
60621,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1322
60601,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1958
60185,IL,Chicago-Naperville-Elgin,DuPage County,West Chicago,1785
60655,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1794
60646,IL,Chicago-Naperville-Elgin,Cook County,Chicago,2215
60636,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1344
60642,IL,Chicago-Naperville-Elgin,Cook County,Chicago,2221
46312,IN,Chicago-Naperville-Elgin,Lake County,East Chicago,886
60661,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1945
60415,IL,Chicago-Naperville-Elgin,Cook County,Chicago Ridge,1439
60064,IL,Chicago-Naperville-Elgin,Lake County,North Chicago,1258
60633,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1409
60606,IL,Chicago-Naperville-Elgin,Cook County,Chicago,2008
60602,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1908
60604,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1926
