Name,Grade Category,Grade,Rating,Address,State,City,postalcode
ACERO - BRIGHTON PARK ,ES,K-8,Level 1,4420 S Fairfield Ave  ,IL,Chicago,60632
ACERO - CISNEROS ,ES,K-8,Level 1+,2744 W Pershing Rd  ,IL,Chicago,60632
ACERO - CLEMENTE ,ES,K-8,Level 1,2050 N Natchez Ave  ,IL,Chicago,60707
ACERO - DE LA CRUZ ,ES,K-12,Level 1,7416 N Ridge Ave  ,IL,Chicago,60645
ACERO - DE LAS CASAS ,ES,K-8,Level 1,1641 W 16th St  ,IL,Chicago,60608
ACERO - FUENTES ,ES,K-8,Level 1,2845 W Barry Ave  ,IL,Chicago,60618
ACERO - GARCIA HS ,HS,09-Dec,Level 1,4248 W 47th St  ,IL,Chicago,60632
ACERO - IDAR ,ES,K-8,Level 1,5050 S Homan Ave  ,IL,Chicago,60632
ACERO - MARQUEZ ,ES,K-8,Level 1+,2916 W 47th St  ,IL,Chicago,60632
ACERO - PAZ ,ES,K-8,Level 2,2651 W 23rd St  ,IL,Chicago,60608
ACERO - SANTIAGO ,ES,K-8,Level 1+,2510 W Cortez St  ,IL,Chicago,60622
ACERO - SOTO HS ,HS,09-Dec,Level 2+,5025 S St. Louis Ave  ,IL,Chicago,60632
ACERO - TAMAYO ,ES,K-8,Level 1+,5135 S California Ave  ,IL,Chicago,60632
ACERO - TORRES ,ES,K-8,Level 1,4248 W 47th St  ,IL,Chicago,60632
ACERO - ZIZUMBO ,ES,K-8,Level 1,4248 W 47th St  ,IL,Chicago,60632
ADDAMS ,ES,"PK,K-8",Level 1,10810 S Avenue H  ,IL,Chicago,60617
AGASSIZ ,ES,"PK,K-8",Level 1+,2851 N Seminary Ave  ,IL,Chicago,60657
AHS - PASSAGES ,ES,K-8,Level 2+,1643 W Bryn Mawr Ave  ,IL,Chicago,60660
AIR FORCE HS ,HS,09-Dec,Level 1,3630 S Wells St  ,IL,Chicago,60609
